GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BookManagement,com.vitorricoy.bookmanagement.model.service,AuthorService,0,97,0,18,0,23,0,15,0,6
BookManagement,com.vitorricoy.bookmanagement.model.service,ReviewService,0,123,0,26,0,27,0,19,0,6
BookManagement,com.vitorricoy.bookmanagement.model.service,BookService,0,251,1,65,0,48,1,39,0,7
BookManagement,com.vitorricoy.bookmanagement.model.domain,Review,0,43,0,0,0,18,0,9,0,9
BookManagement,com.vitorricoy.bookmanagement.model.domain,Book,0,73,0,0,0,30,0,15,0,15
BookManagement,com.vitorricoy.bookmanagement.model.domain,Author,0,55,0,0,0,23,0,10,0,10
BookManagement,com.vitorricoy.bookmanagement.model.persistence,ReviewPersistence,0,135,0,12,0,28,0,15,0,9
BookManagement,com.vitorricoy.bookmanagement.model.persistence,BookPersistence,0,171,0,16,0,35,0,18,0,10
BookManagement,com.vitorricoy.bookmanagement.model.persistence,AuthorPersistence,0,137,0,12,0,28,0,15,0,9
BookManagement,com.vitorricoy.bookmanagement.model.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
BookManagement,com.vitorricoy.bookmanagement.model.exception,PersistenceException,0,4,0,0,0,2,0,1,0,1
